"year","country","state","city","shape","duration..seconds.","comments"
1966,"us","fl","boca raton (military trail)","circle","21600","SAW BRIGHT LITE.DROVE CLOSER&#44STOPPED WHEN NEXT TO IT.500 YARDS.GOT OUT OF CAR WALKED TOWARD LIGHT.NEXT THING 5 HOURS LATTER"
1966,"us","in","martinsville","disk","60","Craft hovered about 20 feet above barn. Lights in horizontal orientation for about 30 seconds and then darted away. Others saw."
1966,"us","ca","running  springs","disk","1200","Around 7 pm on a tues in oct 1966 on my way home from work   while driving up the rim of the world high way or highway 18 from skyfores"
1966,"us","or","ukiah","oval","1200","Orange oval 40 ft in diameter&#44 twenty ft off the ground&#44 appoxumate 100 ft from me."
1966,"us","ny","utica","triangle","180","i and a friend were coming home one cold fall evening outside of Hugh R. Jones Elem. School . There was a triangle of a red&#44 green&#44 whi"
1967,"us","al","birmingham","oval","300","description of a spaceship spotted over Birmingham Alabama in 1967."
1967,"us","nc","hampstead","disk","300","Hampstead North Carolina disk 1967"
1967,"us","ca","north hollywood","fireball","900","A fireball over the San Fernando Valley in 1967"
1967,"us","ca","saugus","light","180","oct. 1967 late night&#44 I was a high school student living in the boring town of Saugus&#44 California&#44 the nearest town was Newhaul&#44 and th"
1968,"us","mn","hastings","triangle","120","Perfect semi circle vapor trail left as soundless UFO makes a turn-around overhead."
1968,"us","il","crystal lake","cigar","1800","Cigar shaped vehicle hovering over farm field."
1968,"us","wi","bancroft (rural area near)","light","120","Two&#44 non-blinking white lights perform a high speed&#44 75-degree ascent."
1969,"us","ct","sharon","oval","120","NO NOISE&#44 NO AIR MOVEMENT&#44 NO HEAT&#44LIGHTS UNDERSIDE&#44 HOVERED&#44"
1969,"us","ms","pearl","cigar","1200","Long overdue report of UFO witnessed at a close range--years ago"
1969,"us","de","wilmington","circle","60","Moon sized object &quot;grew&quot; to fill entire sky&#44 then disappeared"
1969,"us","tx","hurst","disk","60","the light that came as i called it"
1969,"us","fl","miami","changing","120","OCTOBER 1969 UFO SIGHTING BY ENTIRE FAMILY"
1969,"us","nh","exeter (near)","cigar","1800","I was returning from the first Vietnam Moratorium (that is how I fix the date accurately) in Boston with some friends in an old VW bus."
1969,"us","az","alpine","disk","300","Fall&#44 clear&#44 full visual disc sighting unbelievable air manuevers &#44speed &#44 brightness."
1959,"us","wv","four states","sphere","600","MYSTERIOUS RED LIGHTS  IN NORTHERN WEST VIRGINIA"
1965,"us","ma","beverly","cylinder","60","Possible ufo sighting 1965-1966 Beverly&#44 MA."
1965,"us","ca","la jolla","disk","5","(Quoting from a report made separatly by each of us less than 1 hour from the happening) &quot;My wife and I saw 4 UFO&#39s flying in half wing"
1965,"us","ca","la jolla","disk","6","Four UFO&#39s fly in open daylight&#44 close by&#44 and with no sound whatever.  They did not seem the least bit concerned at being plainly seen"
1967,"us","ar","cherokee village","circle","2100","Bright light - 12ft Sphere"
1958,"us","mn","st. paul","other","2","A dull-orange craft sped southbound at low altitude and high speed toward the general direction of the airport."
1964,"us","la","new iberia","circle","300","On a clear&#44 cloudless day at 12:00 noon my buddy and I saw this craft at a maximum altitude of 100 to 200 feet."
1964,"us","mi","detroit","circle","2700","Amature Astronomer has sighting with telescope of a large circular object with writting on it in 1964."
1966,"us","nm","albuquerque","diamond","180","Former wife and I saw a saucer shaped craft&#44 rotating counter clockwise&#44 as seen from under-full moon night&#44 or near- 1/4 to 1/2 mile a"
1967,"us","ct","old greenwich","disk","30","Very OLD sighting of glowing blue object hovering over RR tracks/wires in SW Connecticut. 1967&#33"
1968,"us","oh","ashtabula (saybrook twnshp.)","disk","900","In Oct.of 1968&#44a saucer shaped craft was hovering over a home at 1:00 am in the morn..It was a still and desserted state routethat nigh"
1968,"us","mi","wayne","oval","3600","A grey oval craft hovering over a hambuger standfor an hour about 200  feet  above the light poles with no sound."
1966,"us","nm","santa fe","disk","300","My sighting in Santa Fe&#44New Mexico"
1965,"us","pa","pittsburgh","disk","300","Like something I had never seen at the time or have ever seen again&#33"
1968,"us","fl","lakeland","disk","900","We saw a flying Saucer over Lakeland Florida&#44 and also it was reported the next day in the Lakeland Ledger newspaper"
1968,"us","wa","walla walla","other","1500","black objects oveer walla walla"
1958,"us","or","terrebonne","unknown","120","Piercing&#44 shrill tone."
1968,"us","ma","springfield","disk","300","Unexpected siting of a disk shaped object fully illuminated by bright&#44 circling lights around this object"
1969,"us","pa","erie","circle","1200","bright circular object along Lake Erie"
1969,"us","ny","fulton","cigar","1200","Orange cigar shaped object drops material."
1958,"us","il","riverside","light","600","Chicago suburbs&#44 strange lights and figures; close contact with figures. 500 Lights On Object0: Yes"
1968,"us","fl","miami","fireball","600","Miami UFO Sighting"
1969,"us","ny","fulton","cigar","240","orange cigar shaped object drops something that bursts into flames."
1969,"us","ny","fulton","cigar","600","orange cigar shaped object moved slowly from the ne.  it stopped and a piece of the same color fell from it and burst into flames. the"
1953,"us","la","new orleans","oval","2","20+ ovals flying over New Orleans"
1967,"us","tx","midland","light","5","I remember this event very distinctly.  However I am unsure of the date.  It&#8217;s approximate.  However I am very sure it was during a Hal"
1967,"us","ok","ada","circle","12","Extreemly fast moving multi colored circle of light."
1969,"us","ny","fulton","circle","1200","Large bright orange cigar shaped craft."
1963,"us","ny","new york city (richmond hills) (queens)","circle","2","This thing zoomed in a zig zag motion and suddenly zoomed lightning fast up into the space of darkness."
1963,"us","va","prince george","disk","7200","Two glowing saucers came down and floated above me and a friend; event lasted at least two hours. 500 Lights On Object0: Yes"
1963,"us","nj","millington","disk","420","a pie shaped disc with 2red and 2 white lights closely hovering over neighbors home."
1957,"us","mn","st. paul","light","45","A bright light was apparently chased by several military jets."
1964,"us","or","terrebonne","cigar","600","Shimmering silver metallic shape.....no sound(s)&#44 moving slowly to the South."
1967,"us","ny","syracuse","disk","120","silent luminescent disc shining in the pre-dawn sky"
1968,"us","il","london mills","disk","1800","I was working at the Mecco mine near London Mills&#44 IL on 10/05/68.   Fall was dry so need for pumps in the strip mine after a rain was"
1968,"us","sd","nunda","disk","900","My uncle had a close encounter in 1968"
1967,"us","nj","whippany","disk","1800","noticed lights in the sky just above tree tops"
1965,"us","ca","reseda","disk","180","Formation of disks decending behind trees w/multiple witnesses"
1967,"us","fl","lantana","other","180","UFO report and theory of motion."
1955,"us","ca","west covina","","4","Brilliant green meteor heading north west from view in California near L.A."
1963,"us","ms","laurel","oval","420","1963 sighting of beautiful objects in southeast Mississippi &#44 worth reading"
1959,"us","ca","south san francisco","disk","120","Its was approximately 6:30pm&#44 I was sitting in frontroom watching TV&#44 when screen showed sometype of interference.  I looked out the wi"
1964,"us","ca","el cerrito (over old berkeley dump)","fireball","120","bal of fire in the sky no reported air crashes that night(unexplained)"
1968,"us","fl","jacksonville","","120","Lost three hours of time--and didn&#39t think it strange."
1957,"us","nj","teaneck","cylinder","120","Cylinder UFO followed by disc seen in fall of 1957 over northern New Jersey"
1957,"us","tx","corpus christi","light","600","UFO over Corpus Christi near naval yard on November 10&#44 1957"
1968,"us","ca","san diego (allied gardens)","unknown","180","I  AWAYS HAD THE FEELING I WAS &quot; NOT&quot; TO TALK ABOUT THIS&#44 &quot; TO ANYONE-"
1959,"us","fl","starke","sphere","1800","UFO OVER JACKSONVILLE"
1960,"us","wa","sumner (lake tapps area)","sphere","30","Sphere with Spikes over Lake Tapps traveling West to East in 1960"
1961,"us","ca","bakersfield","circle","600","Round red glowing object in the night sky...changed colors......and did not seem to be very high......"
1966,"us","wa","seattle","disk","120","Driving around after swingshift to relax. Drove by familiar watertower; a red&#44 flashing light caught my eye--to bright for the tower li"
1966,"us","ny","hempstead","unknown","60","Other&#44   moving   starlike  cluster"
1954,"us","co","denver","fireball","10","I was approximately 12 years old when I saw this UFO.  I haven&#39t told a lot of people about it.  I thought because I was so young at th"
1962,"us","fl","valparaiso","cigar","300","orange&#44 glowing cigar over bayou"
1965,"us","ma","billerica","cigar","1200","Cigar shaped craft shines spotlight for me to walk towards it"
1968,"us","ok","enid","flash","15","Encountered a bright light between the ground and the aircraft possibly traveling perpendicular to our flight path."
1969,"us","ca","san juan capistrano","unknown","10","My brother saw a little man."
1969,"us","ak","fairbanks","formation","240","Sighting of 5 objects in a PENTAGON formation near Fairbanks&#44 Alaska around 1969"
1964,"us","va","glen allen","disk","60","Angular Saucer-Like Craft Hovered Over Tree - Could See Movement Inside"
1966,"us","fl","jacksonville","chevron","15","It was between 3 and 5 am in my backyard when i went to let dog out. I was staring at the constellation Cassiopeia and then turned my a"
1967,"us","il","chicago","disk","60","Saucer shaped&#44 with 2 and a half portholes visible&#44 a red light atop&#44 and it moved away at high speed"
1953,"us","il","cicero","other","120","Triangular formation passing over head just west of Chicago&#44 Illinois."
1969,"us","ca","san jose","light","7","Lime green lozenge -shaped light shot across the sky."
1954,"us","tx","thelma (south of)","disk","300","11/14/1954   WHILE HUNTING OBJECT CIRCLED&#44 LANDED AND THEN TOOK OFF STRAIGHT OUT OF SIGHT."
1966,"us","tx","corpus christi","oval","300","I saw an oval shaped object that stood in the air and made square turns and left almost straight up at thousands of miles per hour. I"
1953,"us","nj","keansburg","circle","540","In November&#44 1953&#44 at 0300&#44 a silvery sphere moves slowly overhead&#44 changes direction&#44 and disappears over the horizon."
1956,"us","sd","aberdeen","circle","120","Traveled south to north at a slow speed&#44(90deg. of arc in two min). Size of a half dollar coin at arms length&#44 had a neon orange glow."
1958,"us","ri","greenville","disk","600","Five small disk or spherical-shaped objects merging with a large saucer-shaped object observed by three whitnesses in 1958."
1959,"us","in","lafayette","circle","1800","Observed white object for about 20 minutes in Nov. 1959 which approached and then flew away."
1960,"us","ks","kansas city","unknown","300","Two witnesses see ball of light come over horizon&#44 then speed up and disappear before their eyes."
1962,"us","tx","runge","sphere","60","creature in transparent sphere  panics at being seen by nine year old boy"
1964,"us","tn","memphis","circle","600","The &quot;Moon of Memphis&quot; looked simular to the white full moon in size and brightness but rises to be a star."
1964,"us","tn","memphis","sphere","900","A white full moon shaped ufo hovered for several minutes then started to ascend in the sky into space"
1965,"us","ny","syosset (long island)","disk","420","Observed a disk-shaped object about the size of a dime ( if held at arm&#39s length )for several minutes against a blue sky until it slowl"
1965,"us","md","colmar manor","","300","The moon took up the entire skyline&#33"
1965,"us","ny","new york city (queens)","oval","1200","Saw this object directly overhead.....about 65 ft. long emiting a reddish glow.went 1/2 block to my girlfrends house&#44 got my camera&#44 wh"
1966,"us","ca","huntington beach","circle","10","Ring of blue lights approx 200 in diameter slowly flying cross night sky at 500 feet in 1966"
1966,"us","nc","winston-salem","triangle","60","3 white lights high in the sky&#44making a 90 degree fast turn"
1967,"us","wa","blaine","unknown","36","UFO flyover during war games."
1956,"us","wv","weirton","disk","10","My Uncle Sam was driving to work very early one winter morning.  He lived down the street from my house.  As he approached my home in h"
1957,"us","tx","dallas","unknown","20","I was flying the first of 4 USAF aircraft on a simulated bombing run on a bridge span in Dallas&#44 Texas.  The other 3 aircraft were behi"
1958,"us","tx","pep","fireball","2","Green fire balls&#44 Texas Panhandle&#44 late 1950&#39s."
1961,"us","ca","santa clara","circle","10800","Stationary circular object 12 oclock high."
1961,"us","in","kendallville","circle","30","It was a clear Indiana day and I saw something fascinating"
1962,"us","fl","key west","sphere","300","in the very early morning hours of 1962&#44 I don&#39t recall the date or month&#44 at the time I was only 10 years of age&#44 a very loud whistlei"
1963,"us","mt","helena (near)","diamond","3600","Diamond shaped UFO blocks USAF runway"
1965,"us","il","mokena","light","20","Light over Mokena Illinios"
1965,"us","ar","conway","light","3600","At a drive-in during the summer my brother and I saw three lights above and to the right of the screen.  The movie was &quot;CAT BALOU.&quot; We"
1965,"us","ia","st. ansgar","fireball","20","winter nite wonder"
1966,"us","az","flagstaff","disk","600","Spotted two black disk shaped objects flying over a small nearby mountain&#44 followed by a single engine plane ."
1968,"us","nj","burlington","circle","1200","New Years night in the late 60&#39s I&#44 my fater and two brothers observed a circular shaped craft"
1968,"us","ca","lawndale","circle","60","Craft with a portal"
1968,"us","la","west monroe","light","1200","On the way into town&#44 a light appeared over head and followed us."
1968,"us","md","wheaton","circle","60","Woke up by loud noise&#44 parents said to come out and see the object. i was 9 or so at time. i remember red sphere hovering in one place"
1969,"us","la","farmerville","other","120","Five bright white&#44 small balls jumped out of the sky&#44 and bounced across the road."
1967,"us","or","silver lake","unknown","60","Saw a small white light that increased dramatically in size&#44 reduced to a small light&#44 turned red and zip......it was gone."
1968,"us","wa","kent","triangle","30","At daybreak&#44 object (with recessed light in nose&#44 and soundless) passed by us in the low clouds. It was barely getting light enough to"
1953,"us","in","pendleton (2-2 1/2 mi. se of)","disk","180","On a moonless&#44 star-lit night&#44  greenish-orange light moves rapidly and silently  about the dark sky while being pursued by a jet."
1960,"us","ny","westbury","disk","60","Father Mother and son in car stopped in middle of street to see a saucer with lights around the rim hovering above their house."
1966,"us","wa","leavenworth","triangle","300","red triangular ufo observed on clear day"
1967,"us","ca","tiburon","teardrop","20","Teardrop outlined in white light&#44 three circular white lights in dark interior&#44 silent."
1968,"us","id","american falls","disk","20","Large glowing green in color looking up at the bottom it was round"
1964,"us","tn","memphis","circle","900","Moon like UFO hovers for minutes then ascends to appear to look like bright star&#44 then dim star&#44 then gone."
1969,"us","ak","kenai","light","300","My brother and I saw what we thought was a car approaching on the rise of a hill.  The lights were so bright we turned our eyes away fr"
1965,"us","ok","cherokee","other","300","There was one silver metallic craft with small lights&#44 no sound&#44 no windows&#44 no red or green lights&#44 and no blinking light."
1958,"us","wi","milwaukee","disk","10","3 disk shaped lights swerving among each other across sky&#44 got to North&#44 shot straight into the stars"
1961,"us","sc","leesville","flash","15","It was an overcast day.  It was around 10am.  My passenger and I left Summit&#44 SC heading toward Leesville&#44 SC.  We saw an incredibly br"
1968,"us","al","locust fork","light","180","Smaller UFO comes from behind mountain and enters larger one."
1960,"us","va","bristol","disk","1200","BURNING disc  sighting 1960"
1965,"us","fl","jacksonville","light","1200","Bright light makes 90 degree turn."
1968,"us","wv","anjean","oval","240","We were standing by our car parked at Anjean&#44 WV waiting for my brother after a good day of ruff grouse hunting. The first saucer came"
1969,"us","ga","buford","disk","20","I was travelling home with two friends on Buford Hwy &#44Leaving A small town named Flowery Branch after a birth day party &#44Heading back h"
1969,"us","fl","miami","sphere","900","Sphere&#39s appear in the room within touching distance and stay for a considerable amount of time."
1962,"us","tx","pharr","chevron","40","V shaped glowing object splits up into six similar objects and quickly disperse."
1965,"us","ct","old saybrook","light","600","Cluster of red lights hovering at low altitude without sound during Great Northeast Black-out"
1965,"us","ny","middletown","sphere","1","Posssible UFO seen near Middletown&#44 NY on the November night of the great northeastern black-out of 1965."
1963,"us","ma","holyoke","disk","1200","6 massive ufo&#39s parked on moon. old sighting"
1969,"us","fl","lake wales","disk","300","The ufo used simulated police lights to pull me over and then just sat there apparently observing me."
1963,"us","ga","rome","oval","1200","An unmistakable sighting of a silent craft that followed us for 3miles&#44 stopped hovered and accelerated out of sight straight up."
1965,"us","tx","san marcos","light","60","What happened on that buss in 1965&#44 in Texas"
1968,"us","sc","abbeville (lake secession)","disk","300","I had a close incounter with a UFO/(saucer/disc).  Craft hoovered about ten feet over my head&#44 backed off&#44 lowered to eye level&#44 then r"
1956,"us","oh","columbus","formation","240","A &quot;V&quot;  shape set of lights either on one large&#44 silent aircraft&#44 or 5 different aircraft flying in formation. No noise heard."
1965,"us","ny","poughkeepsie","triangle","300","Early evening  encounter at intersection near Arlington High School with object hovering obove interestion&#44 then quickly disappearing."
1965,"us","sc","spartanburg","oval","120","FLASH IN THE SKY&#44 BRIGHT LIGHT IN THE WINDOWS OF THE OBJECT. THE NIGHT WAS CLEAR"
1954,"us","nj","red bank","circle","300","Bright orange light&#44 about the size of a pea at arms length&#44 moving slowly from the west to NE.  I was a soldier&#44 stationed at Ft. Monm"
1966,"us","ia","webster city","sphere","120","Two silent and slowly moving red spheres suddenly accelerate and vanish."
1966,"us","pa","valley forge","sphere","360","Ball decending toward home about 50 yds. away and about 50 ft. high..Son panicked and ran into house thinking it was a plane about to c"
1967,"us","md","la plata","circle","600","bright rotating colors&#44 two objects&#44 one large and one much smaller."
1969,"us","la","glenmore","circle","20","A very clear sighting on highway U.S. 165 in Louisiana north of Oakdale near the small town of Glenmora in 1969."
1954,"us","ca","yucaipa","oval","70","Luminous oval over Yucaipa&#44 similar object reported by L.A. newspapers over Inyokern Air Base"
1959,"us","ca","los angeles","disk","600","Silent&#44 Extreme Bright White Disc of Light&#44 approx. 100 foot diameter Hovered approx. 10 minutes then &quot;Switched Off&quot;.  Small white ligh"
1968,"us","ak","juneau","other","900","Earliest encounter&#44 half-moon shaped object shot paralyzing light beam through bedroom window."
1968,"us","ak","juneau","other","900","Strange half-moon shaped thing shoots light into room&#44 causes paralysis and other effects."
1962,"us","ny","new york city","cigar","900","the ufo I saw on dec&#44 21&#44 1962  in NYC has never appeared on any website I could find"
1965,"us","tx","houston (west of)","formation","180","45 of us were  on the Bus&#44 standing  to see the objects&#44 then flash&#44 and everyone was in their seats again"
1969,"us","ct","middletown","fireball","120","i was 9 or 10 years old and i was slideing down my driveway as i got up from my sled and started to walk back up the driveway a firebal"
1969,"us","ct","middletown","circle","60","i think the year was 1969 and im possitive it was in the winter because i was slideing down our driveway. i have been trying to find in"
1965,"us","pa","davidsville","light","300","I personally witnessed this sighting while hitchhiking back home while in the Navy.  It was a clear night while walking within 4 miles"
1966,"us","il","rockford","unknown","60","Close encounter experience. 500 Lights On Object0: Yes"
1969,"us","al","rogersville","","120","single laser-like red light traced numerous straight-line and angular &#39waypoints&#39 in  Christmas night sky"
1961,"us","tx","forestburg","sphere","120","Round brilliant white object hovered and then slowly descended behind a hill in a remote area without making a noise."
1957,"us","wi","madison","cigar","3600","My mother and i worked as telephone swithcboard operators.Dec. 28?&#441957 YOUR BOX DATE WONT TAKE THE DATE I PUT IN.I was in College. We"
1957,"us","wi","madison","cigar","3600","My mother and i worked as telephone swithcboard operators. I was in College. We worked from 4pm-12 midnight. I went and got the car and"
1966,"us","in","hammond","triangle","60","Triangle shaped object with flashing lights&#44 Hammond Indiana ( Hessville ) 1966 or 1967"
1959,"us","ca","tehachapi","fireball","30","White fireball hitting ground."
1967,"us","fl","bithlo","disk","25200","On the evening of December 30&#44 1967&#44 shortly after dusk&#44 I observed along with two other witnesses&#44 a circular craft&#44 approximately 40"
1968,"us","mo","gasconade","unknown","1800","Colored fog on ground.  Mom wouldn&#39t let me go outside to see what it was.  I am a Nuc. Engr.Sisters &amp; Person not yet born then has see"
1964,"us","ne","omaha","sphere","300","Observing the first orbits of Echo 2 radar-reflective satellite through a 50 power telescope&#44 I saw a &quot;lesser light&quot; perhaps spherical&#44"
1952,"us","il","chicago","other","45","Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second."
1967,"us","oh","broadview heights","light","20","Saw descending star-shaped object&#44 slow&#44 bright&#44 no trails&#44 no explosion&#44 twice in 15 years."
1965,"us","pa","pittsburgh","unknown","5","HBCCUFO CANADIAN REPORT:  I Saw The Kecksberg UFO&#33"
1965,"us","wa","fairmont","other","10","In 1965 i was 9 years old and me and mt sister saw a fire ball craft tha looked like a acorn shaped craft somewhat like a bell with sim"
1965,"us","nj","mantua","cigar","120","an object like an airplane fusilage without wings  flames from it were going up not&#44  i repeat&#44 not trailing the object"
1965,"us","ct","enfield","circle","120","Charting a UFO and identifying its points of origin."
1965,"us","ct","enfield","circle","120","Coincidence with later Sighting in 1982 in Great Falls&#44 Montana that seems to have been totally removed from the publics view."
1965,"us","ct","enfield","fireball","120","Giant FireBall streams across the evening sky of Enfield Connecticut&#44 was Hartford responsible&#44 was Mark Twain given a final send -off&#33"
1965,"us","ct","enfield","fireball","300","Possible sighting of the Kecksburg UFO"
1965,"us","ct","middletown","fireball","120","fireball the size of the house  on 12/29/1965 about 5:00 pm"
1965,"us","pa","newtown square","fireball","6120000","DEC 1965  NEWTOWN SQUARE PENN   FLAMING BURNING OBJECT   MOVING ACROSS THE SKY VERY LOW AND SLOW"
1968,"us","ca","carpinteria (santa barbara county)","sphere","600","witnesses watched 3 large sphere move slowly to the West&#44 hover and then each disappear."
1968,"us","oh","dayton","disk","600","Very large white saucer&#44 chased by B-52 near Wright Patterson Air force base."
1968,"us","az","tucson","disk","5","driving home from old tucson w/ parents looked out window(night)to left saw a round shape with dif. colored lites around come up above"
1969,"us","pa","pittsburgh","other","300","Flat black color&#44 6-legged&#44 toy jack shaped&#44 basketball-sized object on the ground melting snow in a squall"
1952,"us","ny","binghamton","disk","900","1952 UFO  disk outside Binghamton&#44 NY  Girls&#39 Club stops for a look at teenage females"
1966,"us","oh","kent","disk","120","A scout ship sighting followed by a mother ship sighting that lasted well over an hour. ."
1954,"us","ak","fairbanks","unknown","1140","RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954."
1960,"us","mn","st. paul","cigar","3","A cigar-shaped UFO glided down towards the earth at a 45 degree angle&#44 but was lost in the ground clutter."
1960,"us","ga","hartwell","cigar","45","My father explained an event of a large cigar-shaped object in perfect flight"
1966,"us","oh","randolph","oval","10","extremely fast UFO stopping dead still in mid air with two smaller similar UFO&#39s following t"
1966,"us","ca","bakersfield","disk","600","Sighting in Bakersfield of Saucer with multiple colored beams of light ..."
1967,"us","ny","stony point","unknown","180","appeared over barn with vaacum sound.     about 150 ft. long.  disappeared quietly into space"
1954,"us","ca","burney","disk","1800","Observance of one large and two smaller UFOs in a comparitive prolonged period of time."
